"cue","target","cosine","fake_cue","fake_target"
"tip","možak",0.569694451266327,"tbp","možek"
"tip","možakar",0.561317945278161,"eip","možapar"
"tip","fant",0.556994945663056,"tim","zant"
"tip","človek",0.542140487310765,"fip","čbovek"
"tip","moški",0.49165180946385,"sip","mdški"
"storiti","narediti",0.763912582417273,"stcriti","naržditi"
"storiti","postoriti",0.644938084389385,"storiti","postorčti"
"storiti","ukreniti",0.584467667358596,"storitž","ukrwniti"
"storiti","početi",0.577759249531082,"storizi","cočeti"
"storiti","napraviti",0.537103437745129,"čtoriti","napravitš"
"način","nacin",0.62795657974244,"začin","naciv"
"način","nači",0.550339450668035,"nvčin","načr"
"način","izgovor",0.396974738427263,"oačin","izgovžr"
"način","metoda",0.384473563588721,"načiv","meloda"
"način","stil",0.380068978612481,"načis","stid"
"pravkar","ravnokar",0.885402949793866,"prafkar","ravnotar"
"pravkar","sinoči",0.420620542923125,"pravzar","pinoči"
"pravkar","maloprej",0.380752086479098,"prvvkar","malsprej"
"pravkar","končno",0.37236176161784,"prrvkar","končgo"
"pravkar","dejansko",0.371819569552908,"prazkar","dejansao"
"glej","glejta",0.602120488664723,"gluj","glejta"
"glej","hej",0.526127926994898,"gles","bej"
"glej","torej",0.50596531453543,"glžj","gorej"
"glej","kakorkoli",0.488236557037028,"olej","kaksrkoli"
"glej","lej",0.485869683890341,"glgj","lez"
"noč","noc",0.648571542908055,"nsč","noc"
"noč","večer",0.536579747928189,"doč","večes"
"noč","noči",0.492352942499977,"nzč","noii"
"noč","polnoč",0.418959208889966,"coč","polnsč"
"noč","jutro",0.397464467427724,"nox","nutro"
"moč","moc",0.639218227963806,"mok","mvc"
"moč","moči",0.565080569056641,"myč","goči"
"moč","sposobnost",0.531811466896583,"zoč","saosobnost"
"moč","zmožnost",0.525754013429373,"ioč","zmožnšst"
"moč","prednost",0.518290998510554,"ioč","prednzst"
"mar","vseeno",0.517462177415431,"uar","vseeco"
"mar","važno",0.441698346517332,"mav","vžžno"
"mar","pomembno",0.441390443351272,"sar","pšmembno"
"mar","brigati",0.414233565774,"tar","bripati"
"mar","skrbeti",0.397489851763588,"nar","sbrbeti"
"ubiti","umoriti",0.712313613258828,"rbiti","umdriti"
"ubiti","ustreliti",0.700291206819964,"ubhti","ustrčliti"
"ubiti","pobiti",0.641159547815114,"ubibi","robiti"
"ubiti","pokončati",0.604676140767627,"ubitk","pokončati"
"ubiti","raniti",0.602576505116592,"ubbti","ranisi"
"najti","poiskati",0.75820525928718,"nadti","pobskati"
"najti","najditi",0.716097158347142,"oajti","najdhti"
"najti","dobiti",0.588987761808386,"npjti","dobimi"
"najti","iskati",0.577876279015559,"najhi","iskaši"
"najti","znajti",0.559296379425724,"našti","znagti"
"kam","nekam",0.54195525330257,"kfm","sekam"
"kam","semkaj",0.326220998433774,"tam","semkad"
"kam","vstran",0.325315480850485,"kai","vstral"
"kam","proč",0.305954836586051,"kat","pšoč"
"kam","domov",0.296389506870574,"xam","dombv"
"priložnost","možnost",0.664028986980357,"prtložnost","možnokt"
"priložnost","prilika",0.662956821154165,"prilpžnost","priljka"
"priložnost","prednost",0.432090821166538,"yriložnost","prednosn"
"priložnost","zmožnost",0.422405977600274,"priložrost","zjožnost"
"priložnost","izkoristiti",0.38459146503196,"prilotnost","izkorcstiti"
"resnično","zares",0.73388524712884,"rksnično","zares"
"resnično","resnicno",0.602442993398156,"resnpčno","resnxcno"
"resnično","resno",0.504795584612912,"resniono","resno"
"resnično","dejansko",0.488524469727791,"resničnm","deyansko"
"resnično","iskreno",0.475309855421134,"reynično","iskrenš"
"super","krasno",0.575227533914492,"supes","kraino"
"super","fantastično",0.5628051119706,"sumer","fantaotično"
