"word_combo","da_cue","da_target","type","cue_type","target_type","da_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ovnjurisværelse","ovn","jurisværelse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ovnkomfur","ovn","komfur","related","word","word",0.504353721586042,-0.564755799420876,0.424899760187707,0.0619779999072373,47,51,54,0,0.944444444444444,52,54,0,0.962962962962963,TRUE,TRUE,FALSE
"ovnspiller","ovn","spiller","unrelated","word","word",0.136002163253417,-0.601594459449534,0.410252966258219,0.0592149151262562,48,53,53,0,1,52,53,0,0.981132075471698,TRUE,TRUE,FALSE
"øvørninspektion","øvørn","inspektion","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øvørntidge","øvørn","tidge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pabotjorddad","pabot","jorddad","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pabotkasket","pabot","kasket","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pælytkanin","pælyt","kanin","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pælytskulmark","pælyt","skulmark","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pændejlig","pæn","dejlig","related","word","word",0.486323185385335,-0.642751373825821,0.672851130389094,0.0924232107237589,53,55,56,0,0.982142857142857,55,56,0,0.982142857142857,FALSE,TRUE,TRUE
"pændommer","pæn","dommer","unrelated","word","word",0.10987945639421,-0.464260351508282,0.711647134499855,0.086941534999604,67,70,75,1,0.933333333333333,67,75,1,0.893333333333333,TRUE,TRUE,TRUE
"pænlommeløvande","pæn","lommeløvande","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pakstsmenge","pakst","smenge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paksttand","pakst","tand","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paladshelder","palads","helder","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paladsslot","palads","slot","related","word","word",0.553761484979921,-0.553591749371728,0.434930126302568,0.0591864935114185,54,57,62,0,0.919354838709677,57,62,0,0.919354838709677,TRUE,TRUE,TRUE
"paladsvideo","palads","video","unrelated","word","word",0.0348512301904317,-0.665382488141104,0.350046836427036,0.0516115903086355,46,52,53,0,0.981132075471698,51,53,0,0.962264150943396,TRUE,TRUE,FALSE
"paniscivilisajestæt","panis","civilisajestæt","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"panisdet","panis","det","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"papirfare","papir","fare","unrelated","word","word",0.0625884725369521,-0.241682341379364,0.795106264351494,0.114763703939423,48,52,53,1,0.981132075471698,52,54,0,0.962962962962963,FALSE,TRUE,FALSE
"papirkalnær","papir","kalnær","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"papirkuglepen","papir","kuglepen","related","word","word",0.467284064510028,-0.325508005155624,0.533483753562288,0.0823183303250121,42,46,52,0,0.884615384615385,50,52,0,0.961538461538462,TRUE,TRUE,FALSE
"paradisabdominal","paradis","abdominal","unrelated","word","word",0.072779403632402,1.33740828569481,1.67899813577499,0.317300822785834,28,29,51,0,0.568627450980392,49,51,0,0.96078431372549,FALSE,TRUE,FALSE
"paradishelvede","paradis","helvede","related","word","word",0.251630741503087,-0.575679631075804,0.536380688877262,0.0723255573337979,55,57,60,0,0.95,56,59,1,0.949152542372881,TRUE,TRUE,TRUE
"paradisværditryk","paradis","værditryk","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paranoidekstertryk","paranoid","ekstertryk","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paranoidsindssyg","paranoid","sindssyg","related","word","word",0.511200713326526,-0.526243321057546,0.385547778918837,0.0574740694824386,45,50,53,0,0.943396226415094,50,52,1,0.961538461538462,TRUE,TRUE,FALSE
