"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"imperiallaugh","imperial","laugh","unrelated","word","word",0.0227317272227001,-0.454411408725745,0.841484092602351,0.0534342933145693,248,289,298,3,0.969798657718121,260,297,4,0.875420875420875,TRUE,TRUE,TRUE
"imperiallosauruschallenge","imperiallosaurus","challenge","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imperiallosauruswofo","imperiallosaurus","wofo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impossibleeasy","impossible","easy","related","word","word",0.4965500077763,-0.427980236130358,0.804516494281898,0.0519313164017161,240,281,286,2,0.982517482517482,274,286,2,0.958041958041958,TRUE,TRUE,TRUE
"impossibleserest","impossible","serest","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impossibleuniversity","impossible","university","unrelated","word","word",0.141232671521606,-0.341242823124317,0.909599771555442,0.0592099018436046,236,262,270,3,0.97037037037037,257,269,4,0.955390334572491,TRUE,TRUE,TRUE
"impresheadcisely","impreshead","cisely","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impresheadcomplete","impreshead","complete","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impressionfeeling","impression","feeling","related","word","word",0.372719334680811,-0.494630706652041,0.664662815118196,0.0434503674903487,234,265,279,6,0.949820788530466,264,279,6,0.946236559139785,TRUE,TRUE,TRUE
"impressionmetal","impression","metal","unrelated","word","word",0.106805885314831,-0.334008484116753,0.908841078022864,0.0570257610353468,254,294,308,7,0.954545454545455,297,309,6,0.961165048543689,TRUE,TRUE,TRUE
"impressionsoundtically","impression","soundtically","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impressiveamazing","impressive","amazing","related","word","word",0.630607162877927,-0.559590497076327,0.548189158790785,0.033674992334649,265,306,312,1,0.980769230769231,294,310,3,0.948387096774194,TRUE,TRUE,TRUE
"impressivejayard","impressive","jayard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impressivemurder","impressive","murder","unrelated","word","word",0.128423491542016,-0.408365660166237,0.706130171743385,0.0454858429230058,241,276,285,3,0.968421052631579,268,283,5,0.946996466431095,TRUE,TRUE,TRUE
"imprestorseamy","imprestors","eamy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imprestorsstrategy","imprestors","strategy","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
