"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"רצפהיווני","רצפה","יווני","unrelated","word","word",0.0933452093236695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רצפהסרנב","רצפה","סרנב","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רצפהשטיח","רצפה","שטיח","related","word","word",0.407116269424039,-0.652076773127828,0.295257000899818,0.147628500449909,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"רקדןביולוגיה","רקדן","ביולוגיה","unrelated","word","word",0.105553137258975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקדןקפיטה","רקדן","קפיטה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקדןריקוד","רקדן","ריקוד","related","word","word",0.469431981387124,-0.831388473112921,0.496138004621947,0.202547492221062,6,7,8,0,0.875,7,8,0,0.875,FALSE,FALSE,FALSE
"רקזלהנחה","רקזל","הנחה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקזלמסזד","רקזל","מסזד","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקטהטיל","רקטה","טיל","related","word","word",0.492501377005276,-0.599297839975505,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"רקטהמעיד","רקטה","מעיד","unrelated","word","word",0.0576048079998557,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,FALSE,FALSE,NA
"רקטהרילה","רקטה","רילה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקרהחירש","רקרה","חירש","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רקרהשמעק","רקרה","שמעק","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשותדרני","רשות","דרני","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשותהסכמה","רשות","הסכמה","related","word","word",0.30992074474978,-0.626845239733041,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"רשותציני","רשות","ציני","unrelated","word","word",0.0736857709338581,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,FALSE,FALSE,NA
"רשליחיצוני","רשלי","חיצוני","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשלילהמיניסטרטיבי","רשלי","להמיניסטרטיבי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשמיתאיוורור","רשמית","איוורור","unrelated","word","word",0.0518380782833612,-0.843672100749669,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"רשמיתטגפה","רשמית","טגפה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשמיתרשמי","רשמית","רשמי","related","word","word",0.468026798596716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשעאכזריות","רשע","אכזריות","related","word","word",0.304461393747504,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,FALSE,FALSE,NA
"רשעארוחת בוקר","רשע","ארוחת בוקר","unrelated","word","word",NA,1.22840977043718,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"רשעוקי","רשע","וקי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשתג'ר","רשת","ג'ר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רשתמאבק","רשת","מאבק","unrelated","word","word",0.0802917840094872,-0.275789108720883,0.34517933266304,0.244078646851483,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"רשתמערכת","רשת","מערכת","related","word","word",0.411292024334877,-0.197598857316669,0.321567046021608,0.227382238848005,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"שאלהלהרגר","שאלה","להרגר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שאלהלשאול","שאלה","לשאול","related","word","word",0.602855876524091,NA,NA,NA,NA,1,2,0,0.5,1,1,1,1,FALSE,FALSE,NA
"שאלהשטן","שאלה","שטן","unrelated","word","word",0.0955693887210828,-0.0919857812569431,0.279088255671216,0.16113167953944,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"שבבאודו","שבב","אודו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שבבמכשיר","שבב","מכשיר","related","word","word",0.428957145688032,-0.325430511729021,0.881494532371777,0.333173616388414,7,7,8,0,0.875,5,8,0,0.625,FALSE,FALSE,FALSE
"שבבנסיעה","שבב","נסיעה","unrelated","word","word",0.0549671930651741,-1.14603970488207,NA,NA,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE
"שבטלניה","שבט","לניה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שבטמשפחה","שבט","משפחה","related","word","word",0.304352771112768,-1.08184169467054,0.471047408603998,0.178039185555372,7,8,8,0,1,8,8,0,1,FALSE,FALSE,FALSE
"שבטרשת","שבט","רשת","unrelated","word","word",0.136359721091743,-0.793054075687567,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שביסדריר","שביס","דריר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שביסמשבר","שביס","משבר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שבלולבטשטות","שבלול","בטשטות","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שבלוללבוא","שבלול","לבוא","unrelated","word","word",0.0603324727471008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שבלולצב","שבלול","צב","related","word","word",0.371972172211365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגבשרידידסוי","שגבשר","ידידסוי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגבשררגיש","שגבשר","רגיש","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגיאהזנתת","שגיאה","זנתת","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגיאהטעות","שגיאה","טעות","related","word","word",0.688066731887862,-0.903812082101639,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שגיאהכוכב","שגיאה","כוכב","unrelated","word","word",0.0665159706917105,0.684158264354282,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
