"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"聪明干报","聪明","干报","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"聪明智能","聪明","智能","related","word","word",0.699850745626429,-0.278696686728555,0.934731855457188,0.220318411194954,18,18,19,0,0.947368421052632,19,19,0,1,FALSE,FALSE,FALSE
"聪明狮子","聪明","狮子","unrelated","word","word",0.765281930193731,-0.185609884742487,1.12308782516825,0.175396850587819,41,43,45,1,0.955555555555556,42,44,2,0.954545454545455,FALSE,FALSE,FALSE
"肉桂兵营","肉桂","兵营","unrelated","word","word",NA,0.755095563044452,1.25482967053622,0.512282067819744,6,9,11,3,0.818181818181818,9,11,3,0.818181818181818,FALSE,FALSE,FALSE
"肉桂出粒","肉桂","出粒","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"肉桂香草","肉桂","香草","related","word","word",0.87672014451379,-0.758857913396689,0.24120504792412,0.0622788755754186,15,18,18,0,1,15,18,0,0.833333333333333,FALSE,FALSE,FALSE
"肩膀膝盖","肩膀","膝盖","related","word","word",0.935312707535633,-0.421166616050452,0.632450377797589,0.182572697935259,12,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"肩膀起塘","肩膀","起塘","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"肩膀酱汁","肩膀","酱汁","unrelated","word","word",0.910154383995834,-0.52977578692169,0.467768288686832,0.129735580761263,13,18,18,0,1,18,18,0,1,FALSE,FALSE,FALSE
"肮脏厌恶","肮脏","厌恶","related","word","word",0.694014693014823,-0.602459118277641,0.487953720990151,0.140860106082872,12,15,15,0,1,13,14,1,0.928571428571429,FALSE,FALSE,FALSE
"肮脏夸大","肮脏","夸大","unrelated","word","word",0.898871393981302,-0.087300621952844,1.0413038636376,0.245437674417965,18,21,21,1,1,19,21,1,0.904761904761905,FALSE,FALSE,FALSE
"肮脏手术","肮脏","手术","unrelated","word","word",0.944505434954232,-0.517324206733238,0.549914839214821,0.152518934609813,13,14,14,1,1,13,14,1,0.928571428571429,FALSE,FALSE,FALSE
"肮脏污秽","肮脏","污秽","related","word","word",0.816719286539369,-0.288430803561848,0.585987523462356,0.146496880865589,16,21,21,0,1,20,21,0,0.952380952380952,FALSE,FALSE,FALSE
