"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"pierścieńzabójczy","pierścień","zabójczy","unrelated","word","word",0.0969580352527904,-0.230441491880483,0.497196500809412,0.0641877922475819,60,64,68,4,0.941176470588235,67,70,2,0.957142857142857,TRUE,TRUE,TRUE
"pierścieńzjedła","pierścień","zjedła","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierwiewniebótwo","pierwiew","niebótwo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierwiewwydawać","pierwiew","wydawać","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierwszyobraza","pierwszy","obraza","unrelated","word","word",0.0566208158133393,-0.339936170570067,0.91012695276489,0.131365510293886,48,49,51,0,0.96078431372549,49,51,0,0.96078431372549,FALSE,TRUE,FALSE
"pierwszyostatni","pierwszy","ostatni","related","word","word",0.665988392544784,-0.567914070505361,0.503193989198772,0.0711623764029524,50,51,51,1,1,51,51,1,1,TRUE,TRUE,TRUE
"pierwszywyosobnie","pierwszy","wyosobnie","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierzchaniedługi","pierzchanie","długi","unrelated","word","word",NA,0.174755285804486,1.11583117783108,0.218832498062919,26,26,26,0,1,10,26,0,0.384615384615385,FALSE,FALSE,FALSE
"pierzchanieminichwalstwo","pierzchanie","minichwalstwo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierzchanieuciekanie","pierzchanie","uciekanie","related","word","word",NA,-0.201609564798466,0.505859105787945,0.0939356777192336,29,32,34,1,0.941176470588235,8,32,3,0.25,FALSE,FALSE,FALSE
"pieskot","pies","kot","related","word","word",0.751340433053434,-0.701120531260589,0.78731144274978,0.143742745658664,30,30,31,1,0.967741935483871,30,31,1,0.967741935483871,FALSE,FALSE,FALSE
"piestardy","pies","tardy","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pieszamknięcie","pies","zamknięcie","unrelated","word","word",0.0523929320427264,-0.395873005557792,0.673185113271862,0.100352511647785,45,49,50,0,0.98,50,50,0,1,FALSE,TRUE,FALSE
"piknikkemping","piknik","kemping","related","word","word",0.545661514114316,0.000618831336152245,0.745977379721161,0.108811984150649,47,48,50,4,0.96,47,51,3,0.92156862745098,FALSE,TRUE,FALSE
"pikniktrałdy","piknik","trałdy","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piknikuczucie","piknik","uczucie","unrelated","word","word",0.0576564767706381,-0.621694814616851,0.346910827793202,0.0757021489410543,21,24,24,2,1,20,25,1,0.8,FALSE,FALSE,FALSE
"pilnyeksemnazaj","pilny","eksemnazaj","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pilnynagły wypadek","pilny","nagły wypadek","related","word","word",NA,0.113081639506277,0.450634584844055,0.0784454122222221,33,36,39,1,0.923076923076923,38,39,1,0.974358974358974,FALSE,FALSE,FALSE
"pilnypamiętać","pilny","pamiętać","unrelated","word","word",0.147329160664851,-0.494365568703362,0.652892416962055,0.13613747976515,23,24,24,2,1,23,24,2,0.958333333333333,FALSE,FALSE,FALSE
"piopakobieta","piopa","kobieta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piopauniknęta","piopa","uniknęta","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piosenkarzkrółewych","piosenkarz","krółewych","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piosenkarzmuzyk","piosenkarz","muzyk","related","word","word",0.661919563945804,-0.481606811551867,1.50996924006477,0.222632818488873,46,48,48,5,1,46,48,5,0.958333333333333,FALSE,FALSE,FALSE
"piosenkarzświatło","piosenkarz","światło","unrelated","word","word",0.142680366034339,-0.664229133446752,0.41178774525875,0.0627970424324462,43,44,44,1,1,43,44,1,0.977272727272727,FALSE,FALSE,FALSE
"piosenlinggobi","piosenling","gobi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piosenlingporucznik","piosenling","porucznik","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piradochód","pira","dochód","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piramidaedwarcie","piramida","edwarcie","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piramidainwestor","piramida","inwestor","unrelated","word","word",0.137976281661399,-0.0322037311684376,1.12129497965732,0.1730195716568,42,46,47,3,0.978723404255319,44,47,3,0.936170212765957,FALSE,FALSE,FALSE
"piramidastruktura","piramida","struktura","related","word","word",0.460529911697216,-0.168283698775031,0.628259629323003,0.0981176697541146,41,44,46,1,0.956521739130435,43,46,1,0.934782608695652,FALSE,FALSE,FALSE
"piramistrzykomiłach","piramistrzy","komiłach","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piramistrzyzachodni","piramistrzy","zachodni","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piratafium","pira","tafium","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piratjoszyjwnia","pirat","joszyjwnia","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piratmarynarz","pirat","marynarz","related","word","word",0.527415919286123,-0.399508833372429,0.57232127018924,0.0771717843292747,55,58,60,2,0.966666666666667,55,60,2,0.916666666666667,TRUE,TRUE,TRUE
"piratświadectwo","pirat","świadectwo","unrelated","word","word",0.121720792774773,-0.386009658143728,0.498293242961,0.0925307322629828,29,33,33,0,1,32,33,0,0.96969696969697,FALSE,FALSE,FALSE
"pistoletbroń","pistolet","broń","related","word","word",0.673493507153867,-0.854440727328842,0.338179126903198,0.0440271722479732,59,65,67,2,0.970149253731343,62,67,2,0.925373134328358,TRUE,TRUE,TRUE
"pistoletświatowy","pistolet","światowy","unrelated","word","word",0.078229149616484,-0.193346907046414,0.833747222640867,0.114523988692603,53,53,56,2,0.946428571428571,52,56,2,0.928571428571429,FALSE,TRUE,TRUE
"pistoletwedziwymać","pistolet","wedziwymać","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pistostaćatak","pistostać","atak","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pistostaćsmaścić","pistostać","smaścić","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"planczertycznie","plan","czertycznie","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"planetamoak","planeta","moak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"planetamówić","planeta","mówić","unrelated","word","word",0.0978950627234454,-0.688131517402032,0.457139547258433,0.0953201848389085,23,25,25,3,1,25,25,3,1,FALSE,FALSE,FALSE
