"word_combo","ur_cue","ur_target","type","cue_type","target_type","ur_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"نفرتآکسیمر","نفرت","آکسیمر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نفرتکامیاب ہونا","نفرت","کامیاب ہونا","unrelated","word","word",NA,-0.643532234579472,0.424381683691109,0.0904784789711446,22,34,34,0,1,34,34,0,1,FALSE,FALSE,FALSE
"نفرتمحبت","نفرت","محبت","related","word","word",0.476816871186781,-0.657121388767204,1.19886260408088,0.244716804308537,24,32,35,2,0.914285714285714,32,36,1,0.888888888888889,FALSE,FALSE,FALSE
"نقدیتقادر","نقدی","تقادر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نقدیرقم","نقدی","رقم","related","word","word",0.398677383992717,-1.00934550690204,0.258684620055831,0.08180325950317,10,15,15,0,1,14,15,0,0.933333333333333,FALSE,FALSE,FALSE
"نقدیمقدر","نقدی","مقدر","unrelated","word","word",0.116980670301484,-0.790221786504055,0.143573146392533,0.0454018153437192,10,16,16,0,1,14,16,0,0.875,FALSE,FALSE,FALSE
"نقطہ ارتکازتوجہ مرکوز کرنا","نقطہ ارتکاز","توجہ مرکوز کرنا","related","word","word",NA,0.583077126774134,0.703375035276935,0.287151655706768,6,11,15,0,0.733333333333333,6,15,0,0.4,FALSE,FALSE,FALSE
"نقطہ ارتکازثٹپ","نقطہ ارتکاز","ثٹپ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نقطہ ارتکازمنع کرنا","نقطہ ارتکاز","منع کرنا","unrelated","word","word",NA,-0.195798355150464,1.00068790767492,0.353796602684156,8,14,14,2,1,11,16,0,0.6875,FALSE,FALSE,FALSE
"نقل مکانیحلاجی مگلوق","نقل مکانی","حلاجی مگلوق","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نقل مکانیسگار","نقل مکانی","سگار","unrelated","word","word",NA,-0.389117226809104,0.75707168682539,0.286146201141165,7,11,16,1,0.6875,16,16,1,1,FALSE,FALSE,FALSE
"نقل مکانیمنتقلی","نقل مکانی","منتقلی","related","word","word",NA,-0.764174824760099,0.769686457025508,0.544250513150185,2,6,8,1,0.75,9,9,0,1,FALSE,FALSE,FALSE
"نگٹدالح","نگٹ","دالح","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگٹمضبوطی سے","نگٹ","مضبوطی سے","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگجیتحفہ","نگجی","تحفہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگجیصواط فص","نگجی","صواط فص","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگڑیبیطغ","نگڑی","بیطغ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگڑیمشہور","نگڑی","مشہور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگلنااعمااد","نگلنا","اعمااد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگلناچبانا","نگلنا","چبانا","related","word","word",NA,-0.209707487719008,0.605065167725666,0.201688389241889,9,11,12,0,0.916666666666667,10,12,0,0.833333333333333,FALSE,FALSE,FALSE
"نگلناکل","نگلنا","کل","unrelated","word","word",NA,-0.790783161526674,0.406790933958684,0.105032967507343,15,30,33,2,0.909090909090909,20,33,2,0.606060606060606,FALSE,FALSE,FALSE
"نگلوپہاڑ","نگلو","پہاڑ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نگلوطھوگنا","نگلو","طھوگنا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نمائشجھازراں","نمائش","جھازراں","unrelated","word","word",NA,1.22904379949694,NA,NA,1,4,16,3,0.25,16,19,0,0.842105263157895,FALSE,FALSE,FALSE
"نمائشغماگ فی قیکی","نمائش","غماگ فی قیکی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نمائشکارکردگی","نمائش","کارکردگی","related","word","word",0.283729135992882,-0.377462799014646,0.581500211904443,0.18388651294886,10,17,17,2,1,15,17,2,0.88235294117647,FALSE,FALSE,FALSE
"نمبرایڈریس","نمبر","ایڈریس","related","word","word",0.281929606265824,-0.362307691742834,0.753147582214383,0.194461869543513,15,25,27,0,0.925925925925926,25,27,0,0.925925925925926,FALSE,FALSE,FALSE
"نمبرپراسرار","نمبر","پراسرار","unrelated","word","word",0.118663561298556,-0.103187591060085,0.684181361813918,0.149300613313821,21,24,27,0,0.888888888888889,26,27,0,0.962962962962963,FALSE,FALSE,FALSE
"نمبرہرمیت","نمبر","ہرمیت","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نمک حلالیداجدہ","نمک حلالی","داجدہ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نمک حلالیفلم","نمک حلالی","فلم","unrelated","word","word",NA,-0.206945844801003,0.764454312078154,0.230491647502954,11,21,24,1,0.875,20,24,1,0.833333333333333,FALSE,FALSE,FALSE
"نمک حلالیوفاداری","نمک حلالی","وفاداری","related","word","word",NA,0.162864885843683,1.25222828500935,0.885459111923715,2,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"ننجااثر","ننجا","اثر","unrelated","word","word",-0.017015972116007,-0.269182238774206,0.729542584618678,0.202338707421321,13,17,20,0,0.85,6,20,0,0.3,FALSE,FALSE,FALSE
"ننجاسیمورائے","ننجا","سیمورائے","related","word","word",NA,0.870157555492135,0.92222536501199,0.461112682505995,4,9,20,1,0.45,5,19,2,0.263157894736842,FALSE,FALSE,FALSE
"ننجاصھک","ننجا","صھک","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ننھاچھوٹا","ننھا","چھوٹا","related","word","word",0.199603629925872,-0.522091156581606,0.655630722174355,0.169283124549548,15,26,29,0,0.896551724137931,22,29,0,0.758620689655172,FALSE,FALSE,FALSE
"ننھادومے","ننھا","دومے","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ننھاہتھیار","ننھا","ہتھیار","unrelated","word","word",0.126086253433868,-0.716208536506008,0.296741001206442,0.0699425247363869,18,29,33,1,0.878787878787879,27,33,1,0.818181818181818,FALSE,FALSE,FALSE
"نوآبادیاعمانی","نوآبادی","اعمانی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نوآبادیہم جنس پرست مرد","نوآبادی","ہم جنس پرست مرد","unrelated","word","word",NA,0.090943665525843,0.585222643453154,0.206907449844821,8,13,14,0,0.928571428571429,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"نوآبادیوفاق","نوآبادی","وفاق","related","word","word",0.241007515368308,-0.249191550750081,0.690962926032561,0.135508978577277,26,32,35,0,0.914285714285714,30,34,1,0.88235294117647,FALSE,FALSE,FALSE
"نواباماسن","نواب","اماسن","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نوابخرگوش","نواب","خرگوش","unrelated","word","word",0.126287302434104,-0.661434577990936,0.515269336993752,0.162942471334511,10,17,19,0,0.894736842105263,17,19,0,0.894736842105263,FALSE,FALSE,FALSE
"نوابنواب کی بیوی","نواب","نواب کی بیوی","related","word","word",NA,-0.154566733126004,0.63294323299807,0.145207136296658,19,33,37,0,0.891891891891892,34,37,0,0.918918918918919,FALSE,FALSE,FALSE
"نوبلانعام","نوبل","انعام","related","word","word",0.368199795296316,-0.842307818547364,0.440267981904395,0.146755993968132,9,10,10,1,1,10,10,1,1,FALSE,FALSE,FALSE
"نوبلگڑسراگ","نوبل","گڑسراگ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نوبلوہاں","نوبل","وہاں","unrelated","word","word",0.0649604312834676,-0.61707133106709,0.524163233244237,0.158041161233698,11,16,18,0,0.888888888888889,14,18,0,0.777777777777778,FALSE,FALSE,FALSE
"نورگبلیکمشیل","نورگ","بلیکمشیل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نورگگھوڑا","نورگ","گھوڑا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نوکریدھونا","نوکری","دھونا","unrelated","word","word",0.148016082814514,-0.482770180555625,1.11452240639552,0.262695450448875,18,27,28,0,0.964285714285714,26,28,0,0.928571428571429,FALSE,FALSE,FALSE
"نوکریعغم","نوکری","عغم","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نوکریکام","نوکری","کام","related","word","word",0.261569643162749,-0.990321635867132,0.298269797705484,0.0770129306126664,15,25,26,0,0.961538461538462,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"نومبردسمبر","نومبر","دسمبر","related","word","word",0.650025412729786,-1.01607927607548,0.341356749802677,0.0912314288874521,14,21,22,1,0.954545454545455,20,22,1,0.909090909090909,FALSE,FALSE,FALSE
"نومبرکمنگی","نومبر","کمنگی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نومبرمرکب","نومبر","مرکب","unrelated","word","word",0.134150262031104,0.0423810580916327,0.806198871947105,0.243078105877848,11,14,15,1,0.933333333333333,15,15,1,1,FALSE,FALSE,FALSE
"نیآخورکچسن","نیآخورک","چسن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیآخورکشادی","نیآخورک","شادی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیٹ ورکجھڑپ","نیٹ ورک","جھڑپ","unrelated","word","word",NA,0.308603919981757,1.07474549422293,0.339864366674778,10,12,14,1,0.857142857142857,12,13,2,0.923076923076923,FALSE,FALSE,FALSE
"نیٹ ورکسسٹم","نیٹ ورک","سسٹم","related","word","word",NA,-0.345939899200814,0.430679517123182,0.111200973158049,15,27,30,0,0.9,25,29,1,0.862068965517241,FALSE,FALSE,FALSE
"نیٹ ورکمکملیوور پر","نیٹ ورک","مکملیوور پر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیچااعتراف","نیچا","اعتراف","unrelated","word","word",0.0943939765633123,-0.332697362954299,0.827722607533615,0.213717058283805,15,25,27,1,0.925925925925926,25,27,1,0.925925925925926,FALSE,FALSE,FALSE
"نیچااونچا","نیچا","اونچا","related","word","word",0.419152880598744,-0.770253412903941,0.456511381695444,0.102079048197337,20,36,41,0,0.878048780487805,38,41,0,0.926829268292683,FALSE,FALSE,FALSE
"نیچاناخودنوار","نیچا","ناخودنوار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیچےاوپر","نیچے","اوپر","related","word","word",0.643419760361622,-0.827581949402163,0.418102105325489,0.147821416952013,8,10,11,0,0.909090909090909,9,11,0,0.818181818181818,FALSE,FALSE,FALSE
"نیچےتفریح","نیچے","تفریح","unrelated","word","word",0.133898511247905,-0.474580533941774,0.50428110335235,0.112760682686445,20,26,28,1,0.928571428571429,26,28,1,0.928571428571429,FALSE,FALSE,FALSE
"نیچےرپار","نیچے","رپار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیشنمیقابلیت","نیشنمی","قابلیت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیشنمینشل","نیشنمی","نشل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیکنسلور","نیکن","سلور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیکنموضوغرگا","نیکن","موضوغرگا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیگاسنسنی پیدا کرنے والا","نیگا","سنسنی پیدا کرنے والا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیگامگتخب کرفا","نیگا","مگتخب کرفا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیلامیخومصغرض","نیلامی","خومصغرض","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نیلامیفروخت","نیلامی","فروخت","related","word","word",0.334030641476238,-0.834417336811954,0.259835158494104,0.0670891494404553,15,30,32,0,0.9375,27,32,0,0.84375,FALSE,FALSE,FALSE
"نیلامینظریہ","نیلامی","نظریہ","unrelated","word","word",0.111008958396441,-0.892346111036308,0.169219325601228,0.069083500390149,6,11,11,0,1,9,11,0,0.818181818181818,FALSE,FALSE,FALSE
"نییدفاگقان","نیید","فاگقان","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نییدقتل کرنا","نیید","قتل کرنا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
