"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"huurlingsluipmoordenaar","huurling","sluipmoordenaar","related","word","word",0.474719589922751,0.0979619382668303,0.570414127668319,0.28520706383416,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"huurlingzand","huurling","zand","unrelated","word","word",0.149484851467698,-0.545403579308429,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ideaalliedje","ideaal","liedje","unrelated","word","word",0.0863555943680607,-0.512687713718233,0.419656337549199,0.242288699451162,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ideaalperfect","ideaal","perfect","related","word","word",0.503685960249599,0.127080169565108,2.25534625152206,0.651062382716037,12,12,12,0,1,11,11,1,1,FALSE,FALSE,FALSE
"ideaalslecik","ideaal","slecik","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ideegrondcum","idee","grondcum","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ideespiegel","idee","spiegel","unrelated","word","word",0.0455644798539582,-0.897452093911739,0.201832295006019,0.0823976893966053,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"ideetheorie","idee","theorie","related","word","word",0.424444660381363,-0.90041065117345,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"idpoindividueel","idpo","individueel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idpoklron","idpo","klron","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idtnoorden","idt","noorden","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idtvongerafsters","idt","vongerafsters","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iemkwading","iem","kwading","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iemplastic","iem","plastic","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"if un tafacteur","if un taf","acteur","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"if un tafonthuffeng","if un taf","onthuffeng","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ifelugah","ife","lugah","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ifemogelijkheid","ife","mogelijkheid","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ijdaggesprodig","ijdag","gesprodig","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ijdagoneerlijk","ijdag","oneerlijk","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ijzerappastof","ijzer","appastof","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ijzeregoïstisch","ijzer","egoïstisch","unrelated","word","word",0.0970842140230784,-0.344295657835415,0.137915242499732,0.0796254023825731,3,3,4,0,0.75,3,4,0,0.75,FALSE,FALSE,FALSE
"ijzermetaal","ijzer","metaal","related","word","word",0.627658412045069,-0.210682055759645,0.788419456796283,0.249320123506897,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"illegaaldewe","illegaal","dewe","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illegaalgat","illegaal","gat","unrelated","word","word",0.0909619772156822,-0.533790325600602,NA,NA,1,1,3,0,0.333333333333333,3,3,0,1,FALSE,FALSE,FALSE
"illegaallegaal","illegaal","legaal","related","word","word",0.720535328078497,-0.286114896747471,0.531857241061171,0.21712980943405,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"illugasharrogantie","illugash","arrogantie","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illugashjumont","illugash","jumont","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illusieactivenaard","illusie","activenaard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illusiehallucinatie","illusie","hallucinatie","related","word","word",0.428140619058757,0.209010383301055,1.40524175767264,0.531131460389298,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"illusiehandelen","illusie","handelen","unrelated","word","word",0.14357369643574,-0.885823178430957,0.184577737902452,0.130516170126897,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ilpkimu","ilp","kimu","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ilptheater","ilp","theater","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imeiar","ime","iar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imetelefoon","ime","telefoon","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"in gang zettenactiveren","in gang zetten","activeren","related","word","word",NA,-0.222138515263471,0.384893128071922,0.272160540891758,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"in gang zettenbeurte","in gang zetten","beurte","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"in gang zettenoptie","in gang zetten","optie","unrelated","word","word",NA,-0.466443544869917,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"in staat stellenleraarde","in staat stellen","leraarde","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"in staat stellenoverdrijven","in staat stellen","overdrijven","unrelated","word","word",NA,-0.52876891193355,0.248439345444469,0.143436522969659,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"in staat stellenvoorzien in","in staat stellen","voorzien in","related","word","word",NA,0.0976361774733668,1.6204505004904,0.935567532666598,3,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"incidentertie","incident","ertie","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"incidentknuffel","incident","knuffel","unrelated","word","word",0.0948758654674939,-0.534049393231794,0.44944978982983,0.201000056506499,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
