"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"مسنلررخزاوده","مسنلر","رخزاوده","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسیرراه","مسیر","راه","related","word","word",0.429230418339818,-0.806323513885416,0.0588360815464386,0.0416033922399314,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مسیرگرقله","مسیر","گرقله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسیرمدال","مسیر","مدال","unrelated","word","word",0.0856159694841956,-0.727498289937653,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مشابهپسر","مشابه","پسر","unrelated","word","word",0.0931195512490649,-0.43031410825169,0.133292862927993,0.0544165834213872,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"مشابهمتفاوت","مشابه","متفاوت","related","word","word",0.44084839306223,-0.684211188102435,0.100800729985436,0.0712768797212561,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مشابهمجاح","مشابه","مجاح","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشاواتسوخت","مشاوات","سوخت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشاواتومتی","مشاوات","ومتی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشاوبرمسیحی","مشاوبر","مسیحی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشاوبرملدهات","مشاوبر","ملدهات","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشایعتبر خلاسبانتظار","مشایعت","بر خلاسبانتظار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشایعتصاحب خانه","مشایعت","صاحب خانه","unrelated","word","word",NA,-0.871336774274581,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مشایعتهمراهی کردن","مشایعت","همراهی کردن","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مشخصاتاقیانوس","مشخصات","اقیانوس","unrelated","word","word",0.0803639105987772,-0.53004210241686,0.959053514000589,0.553709804475497,3,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"مشخصاتتوصیف","مشخصات","توصیف","related","word","word",0.30249861308815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
