"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"foravigor","fora","vigor","unrelated","word","word",0.126778383175608,-0.514937732254569,0.497281451887855,0.0621601814859819,64,65,66,0,0.984848484848485,65,65,1,1,TRUE,TRUE,TRUE
"forçacafé","força","café","unrelated","word","word",0.0457558978898587,-0.675082751801763,0.752259594125342,0.117483210731351,41,42,44,0,0.954545454545455,43,44,0,0.977272727272727,FALSE,FALSE,FALSE
"forçacombuetível","força","combuetível","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forçavigor","força","vigor","related","word","word",0.387933484446922,-0.385817562825966,0.706268887255093,0.113093533006131,39,41,43,1,0.953488372093023,44,44,0,1,FALSE,FALSE,FALSE
"formulárioassinar","formulário","assinar","related","word","word",0.54794671457289,-0.448608146039115,0.580333345902476,0.087488543713184,44,47,48,0,0.979166666666667,48,48,0,1,FALSE,FALSE,FALSE
"formulárioatenresta","formulário","atenresta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"formuláriocorajoso","formulário","corajoso","unrelated","word","word",0.0874083226570584,-0.44609581869879,0.565183951065386,0.115367690910028,24,26,26,0,1,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"fornofogão","forno","fogão","related","word","word",0.630568250997636,-0.589177410163682,0.537542459825852,0.0921877713141575,34,34,35,0,0.971428571428571,32,35,0,0.914285714285714,FALSE,FALSE,FALSE
"fornojogações","forno","jogações","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fornojogador","forno","jogador","unrelated","word","word",0.0938010174822977,-0.428982659766114,0.520099102359272,0.0934125563630916,31,34,35,0,0.971428571428571,34,35,0,0.971428571428571,FALSE,FALSE,FALSE
