"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"köuntzoğa","köunt","zoğa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"koyborç","koy","borç","unrelated","word","word",0.0666527032163745,-0.544315647928243,0.510398378560469,0.0495742729265855,106,114,116,5,0.982758620689655,109,116,5,0.939655172413793,TRUE,TRUE,TRUE
"koykişiıyor","koy","kişiıyor","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"koyliman","koy","liman","related","word","word",0.140506065242044,-0.481613842577142,0.527774815220683,0.0435301330913095,147,161,166,4,0.969879518072289,147,165,5,0.890909090909091,TRUE,TRUE,TRUE
"kraliçedoğrulalecek","kraliçe","doğrulalecek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kraliçekral","kraliçe","kral","related","word","word",0.696643690552994,-0.494885077645587,0.733447148837088,0.0638383802184751,132,144,147,3,0.979591836734694,140,146,4,0.958904109589041,TRUE,TRUE,TRUE
"kraliçesoda","kraliçe","soda","unrelated","word","word",0.0704304194774344,-0.3719608437925,0.862879466650343,0.0794344935303949,118,127,133,6,0.954887218045113,125,133,6,0.93984962406015,TRUE,TRUE,TRUE
"krediborç","kredi","borç","related","word","word",0.599058221933104,-0.675489802089281,0.490203840958591,0.0392477180204308,156,169,175,2,0.965714285714286,171,175,2,0.977142857142857,TRUE,TRUE,TRUE
"kredicenaze","kredi","cenaze","unrelated","word","word",0.148911689571062,-0.352717859378672,0.887118228498405,0.0787190134679751,127,143,147,4,0.972789115646258,139,146,5,0.952054794520548,TRUE,TRUE,TRUE
"kredieşlik edolyn","kredi","eşlik edolyn","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kremaakşam","krema","akşam","unrelated","word","word",0.1273023062175,-0.592287084564983,0.718982927122233,0.0648285073230425,123,131,137,5,0.956204379562044,131,138,4,0.949275362318841,TRUE,TRUE,TRUE
"kremagizya","krema","gizya","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kremasos","krema","sos","related","word","word",0.601633388211976,-0.491941781897071,0.546433595614307,0.0466849726846787,137,148,152,8,0.973684210526316,139,153,7,0.908496732026144,TRUE,TRUE,TRUE
