"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"suñimientomutación","suñimiento","mutación","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"superficieanpilo","superficie","anpilo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"superficiefondo","superficie","fondo","related","word","word",0.308827662062755,-0.409818651677966,0.866085288134982,0.158124816344964,30,32,34,1,0.941176470588235,28,34,1,0.823529411764706,FALSE,FALSE,FALSE
"superficiemujer","superficie","mujer","unrelated","word","word",0.119457625153433,-0.822823060002072,0.585475045821474,0.0836392922602106,49,51,51,0,1,48,51,0,0.941176470588235,TRUE,TRUE,FALSE
"SupermanBatman","Superman","Batman","related","word","word",NA,-0.547347530010764,0.560776207045516,0.0730068436992127,59,60,61,0,0.983606557377049,60,61,0,0.983606557377049,TRUE,TRUE,TRUE
"Supermanhacona","Superman","hacona","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supermannotable","Superman","notable","unrelated","word","word",NA,-0.0561899891016904,1.47575537597344,0.213006940894075,48,51,52,1,0.980769230769231,49,52,1,0.942307692307692,FALSE,TRUE,FALSE
"suragenda","sur","agenda","unrelated","word","word",0.10715179168354,-0.298918093303652,0.65804783775211,0.094981024066458,48,50,51,0,0.980392156862745,33,51,0,0.647058823529412,FALSE,TRUE,FALSE
"surenimento","sur","enimento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"surnorte","sur","norte","related","word","word",0.906656967765939,-0.899222667832896,0.473086843939265,0.0690068084689666,47,49,50,1,0.98,39,50,1,0.78,TRUE,TRUE,FALSE
"susuntaliurra","susunta","liurra","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"susuntasuceder","susunta","suceder","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suvinficiepintor","suvinficie","pintor","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suvinficiesachila","suvinficie","sachila","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suxistimaradversario","suxistimar","adversario","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suxistimarmoner","suxistimar","moner","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tabacocigarrillo","tabaco","cigarrillo","related","word","word",0.639938382291706,-0.481446278226576,0.694238011054023,0.124688827653825,31,32,32,0,1,28,32,0,0.875,FALSE,FALSE,FALSE
"tabacocivirillo","tabaco","civirillo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tabacorey","tabaco","rey","unrelated","word","word",0.124667101871608,-0.738077851333424,0.52679665200413,0.074500296987698,50,51,51,1,1,48,51,1,0.941176470588235,TRUE,TRUE,TRUE
