"word_combo","no_cue","no_target","type","cue_type","target_type","no_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"økonoborgfeil","økonoborg","feil","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"økonoborgvernetakulær","økonoborg","vernetakulær","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"økonomiskarrestaleri","økonomisk","arrestaleri","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"økonomiskfinansiering","økonomisk","finansiering","related","word","word",0.456800196877039,-0.677897324420918,0.16686774927712,0.0963411399642121,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"økonomiskkonsert","økonomisk","konsert","unrelated","word","word",0.058514339132041,-1.17654254487161,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"okregnecro","ok","regnecro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omelportling","omel","portling","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omelvirksomhet","omel","virksomhet","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ømkleddeeksplosjon","ømkledde","eksplosjon","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ømkleddesabi","ømkledde","sabi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"områdealoysiden","område","aloysiden","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"områdebekymre","område","bekymre","unrelated","word","word",0.117103469553643,-0.312916101052485,0.217856479613729,0.12577949714969,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"områdesone","område","sone","related","word","word",0.277879479009668,-0.299577456349674,0.398704454133711,0.281926623207228,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"omsanstaltperen","oms","anstaltperen","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omsfiske","oms","fiske","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omstfar","omst","far","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omstheko","omst","heko","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omudpressse","omud","pressse","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omudskuffelse","omud","skuffelse","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onddumble","ond","dumble","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ondfrokost","ond","frokost","unrelated","word","word",0.143538425162915,-0.727972872809494,0.160954112567307,0.0657092412987311,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"ondgrusomhet","ond","grusomhet","related","word","word",0.304570903477061,-0.716457886846028,0.155769725068114,0.110145828899228,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"onkelklilio","onkel","klilio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onkelpappa","onkel","pappa","related","word","word",0.334609994917013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onkelvokte","onkel","vokte","unrelated","word","word",0.0999731722139266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onrieserespektni","onrie","serespektni","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onrietiltrekke","onrie","tiltrekke","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"operativcle","operativ","cle","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"operativfunksjonell","operativ","funksjonell","related","word","word",0.35777443443242,-0.442319781183263,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
